code,name,namew,type,parent
N09000001,Antrim,,town,N09000001
N09000001,Greenisland,,town,N09000001
N09000001,Antrim,,town,N09000001
N09000001,Creggan,,town,N09000001
N09000001,Milltown,,town,N09000001
N09000001,Newtownabbey,,town,N09000001
N09000001,Antrim and Newtownabbey,,lgd,N92000002
N09000002,Armagh,,town,N09000002
N09000002,Dromore,,town,N09000002
N09000002,Annaghmore,,town,N09000002
N09000002,Craigavon,,town,N09000002
N09000002,Eglish,,town,N09000002
N09000002,Katesbridge,,town,N09000002
N09000002,Keady,,town,N09000002
N09000002,Kilmore,,town,N09000002
N09000002,Milltown,,town,N09000002
N09000002,Tamnamore,,town,N09000002
N09000002,Portadown,,town,N09000002
N09000002,Lurgan,,town,N09000002
N09000002,"Armagh City, Banbridge and Craigavon",,lgd,N92000002
N09000003,Castlereagh,,town,N09000003
N09000003,Edenderry,,town,N09000003
N09000003,Lisburn,,town,N09000003
N09000003,Belfast,,lgd,N92000002
N09000004,Coleraine,,town,N09000004
N09000004,Limavady,,town,N09000004
N09000004,Moss-Side,,town,N09000004
N09000004,Causeway Coast and Glens,,lgd,N92000002
N09000005,Derry,,town,N09000005
N09000005,Strabane,,town,N09000005
N09000005,Clady,,town,N09000005
N09000005,Londonderry,,town,N09000005
N09000005,Derry City and Strabane,,lgd,N92000002
N09000006,Dromore,,town,N09000006
N09000006,Enniskillen,,town,N09000006
N09000006,Omagh,,town,N09000006
N09000006,Moylagh,,town,N09000006
N09000006,Belleek,,town,N09000006
N09000006,Edenderry,,town,N09000006
N09000006,Gortaclare,,town,N09000006
N09000006,Lisnarick,,town,N09000006
N09000006,Mountjoy,,town,N09000006
N09000006,Omagh,,town,N09000006
N09000006,Tamlaght,,town,N09000006
N09000006,Fermanagh and Omagh,,lgd,N92000002
N09000007,Lisburn,,town,N09000007
N09000007,Castlereagh,,town,N09000007
N09000007,Hillsborough,,town,N09000007
N09000007,Lisburn,,town,N09000007
N09000007,Lower Broomhedge,,town,N09000007
N09000007,Milltown,,town,N09000007
N09000007,Culcavy,,town,N09000007
N09000007,Lisburn and Castlereagh,,lgd,N92000002
N09000008,Ballymena,,town,N09000008
N09000008,Carrickfergus,,town,N09000008
N09000008,Greenisland,,town,N09000008
N09000008,Larne,,town,N09000008
N09000008,Mid and East Antrim,,lgd,N92000002
N09000009,Coalisland,,town,N09000009
N09000009,Dungannon,,town,N09000009
N09000009,Magherafelt,,town,N09000009
N09000009,Mountjoy,,town,N09000009
N09000009,Annaghmore,,town,N09000009
N09000009,Ballinderry,,town,N09000009
N09000009,Benburb,,town,N09000009
N09000009,Clady,,town,N09000009
N09000009,Donaghmore,,town,N09000009
N09000009,Eglish,,town,N09000009
N09000009,Glen,,town,N09000009
N09000009,Killeen,,town,N09000009
N09000009,Maghera,,town,N09000009
N09000009,Sandholes,,town,N09000009
N09000009,Tamlaght,,town,N09000009
N09000009,Tamnamore,,town,N09000009
N09000009,Mid Ulster,,lgd,N92000002
N09000010,Ballynahinch,,town,N09000010
N09000010,Newry,,town,N09000010
N09000010,Annacloy,,town,N09000010
N09000010,Belleek,,town,N09000010
N09000010,Castlewellan,,town,N09000010
N09000010,Creggan,,town,N09000010
N09000010,Glassdrumman,,town,N09000010
N09000010,Glen,,town,N09000010
N09000010,Jonesborough,,town,N09000010
N09000010,Killeen,,town,N09000010
N09000010,Kilmore,,town,N09000010
N09000010,Maghera,,town,N09000010
N09000010,"Newry, Mourne and Down",,lgd,N92000002
N09000011,Bangor,,town,N09000011
N09000011,Newtownards,,town,N09000011
N09000011,Ards and North Down,,lgd,N92000002
N10000101,Ballycraigy,,town,N10000101
N10000101,Craigarogan,,town,N10000101
N10000101,Crumlin,,town,N10000101
N10000101,Dunadry,,town,N10000101
N10000101,Killead,,town,N10000101
N10000101,Millbank,,town,N10000101
N10000101,Roughfort,,town,N10000101
N10000101,Templepatrick,,town,N10000101
N10000101,Airport,,dea,N09000001
N10000102,Antrim,,dea,N09000001
N10000103,Ballyclare,,town,N10000103
N10000103,Ballycor,,town,N10000103
N10000103,Ballyeaston,,town,N10000103
N10000103,Ballynure,,town,N10000103
N10000103,Ballyrobert,,town,N10000103
N10000103,Cogry,,town,N10000103
N10000103,Doagh,,town,N10000103
N10000103,Hillhead,,town,N10000103
N10000103,Kilbride,,town,N10000103
N10000103,Straid,,town,N10000103
N10000103,Ballyclare,,dea,N09000001
N10000104,Cranfield,,town,N10000104
N10000104,Groggan,,town,N10000104
N10000104,Moneyglass,,town,N10000104
N10000104,Parkgate,,town,N10000104
N10000104,Randalstown,,town,N10000104
N10000104,Toome,,town,N10000104
N10000104,Dunsilly,,dea,N09000001
N10000105,Glengormley Urban,,dea,N09000001
N10000106,Macedon,,dea,N09000001
N10000107,Three Mile Water,,dea,N09000001
N10000201,Artasooly,,town,N10000201
N10000201,Blackwatertown,,town,N10000201
N10000201,Charlemont,,town,N10000201
N10000201,Collegeland,,town,N10000201
N10000201,Killylea,,town,N10000201
N10000201,Madden,,town,N10000201
N10000201,Middletown,,town,N10000201
N10000201,Milford,,town,N10000201
N10000201,Tynan,,town,N10000201
N10000201,Armagh,,dea,N09000002
N10000202,Annaclone,,town,N10000202
N10000202,Banbridge,,town,N10000202
N10000202,Corbet,,town,N10000202
N10000202,Gilford,,town,N10000202
N10000202,Lawrencetown,,town,N10000202
N10000202,Lenaderg,,town,N10000202
N10000202,Loughbrickland,,town,N10000202
N10000202,Moneyslane,,town,N10000202
N10000202,Poyntzpass,,town,N10000202
N10000202,Rathfriland,,town,N10000202
N10000202,Scarva,,town,N10000202
N10000202,Tullylish,,town,N10000202
N10000202,Banbridge,,dea,N09000002
N10000203,Bleary,,town,N10000203
N10000203,Derryadd,,town,N10000203
N10000203,Derrymacash,,town,N10000203
N10000203,Derrytrasna,,town,N10000203
N10000203,Drumnacanvy,,town,N10000203
N10000203,Craigavon,,dea,N09000002
N10000204,Acton,,town,N10000204
N10000204,Aghory,,town,N10000204
N10000204,Broomhill,,town,N10000204
N10000204,Cladymore,,town,N10000204
N10000204,Darkley,,town,N10000204
N10000204,Derryhale,,town,N10000204
N10000204,Edenaveys,,town,N10000204
N10000204,Glenanne,,town,N10000204
N10000204,Hamiltonsbawn,,town,N10000204
N10000204,Laurelvale,,town,N10000204
N10000204,Loughgilly,,town,N10000204
N10000204,Markethill,,town,N10000204
N10000204,Mountnorris,,town,N10000204
N10000204,Mullaghbrack,,town,N10000204
N10000204,Mullavilly,,town,N10000204
N10000204,Richhill,,town,N10000204
N10000204,Tandragee,,town,N10000204
N10000204,Cusher,,dea,N09000002
N10000205,Ardtanagh,,town,N10000205
N10000205,Ashfield,,town,N10000205
N10000205,Blackskull,,town,N10000205
N10000205,Donaghcloney,,town,N10000205
N10000205,Gamlestown,,town,N10000205
N10000205,Gibson's Hill,,town,N10000205
N10000205,Gowdystown,,town,N10000205
N10000205,Kinallen,,town,N10000205
N10000205,Waringsford,,town,N10000205
N10000205,Waringstown,,town,N10000205
N10000205,Lagan River,,dea,N09000002
N10000206,Aghagallon,,town,N10000206
N10000206,Ballymacmaine,,town,N10000206
N10000206,Derrymore,,town,N10000206
N10000206,Dollingstown,,town,N10000206
N10000206,Magheralin,,town,N10000206
N10000206,Lurgan,,dea,N09000002
N10000207,Annahugh,,town,N10000207
N10000207,Ardress,,town,N10000207
N10000207,Clonmore,,town,N10000207
N10000207,Derrylee,,town,N10000207
N10000207,Loughgall,,town,N10000207
N10000207,Maghery,,town,N10000207
N10000207,Scotch Street,,town,N10000207
N10000207,Tartaraghan,,town,N10000207
N10000207,The Birches,,town,N10000207
N10000207,Portadown,,dea,N09000002
N10000301,Balmoral,,dea,N09000003
N10000302,Hannahstown,,town,N10000302
N10000302,Black Mountain,,dea,N09000003
N10000303,Botanic,,dea,N09000003
N10000304,Castle,,dea,N09000003
N10000305,Collin,,dea,N09000003
N10000306,Court,,dea,N09000003
N10000307,Lisnasharragh,,dea,N09000003
N10000308,Oldpark,,dea,N09000003
N10000309,North Down,,town,N10000309
N10000309,Ormiston,,dea,N09000003
N10000310,Titanic,,dea,N09000003
N10000401,Ballymoney,,town,N10000401
N10000401,Balnamore,,town,N10000401
N10000401,Bendooragh,,town,N10000401
N10000401,Carneatly,,town,N10000401
N10000401,Clogh Mills,,town,N10000401
N10000401,Dunloy,,town,N10000401
N10000401,Finvoy,,town,N10000401
N10000401,Rasharkin,,town,N10000401
N10000401,Ballymoney,,dea,N09000004
N10000402,Articlave,,town,N10000402
N10000402,Boleran,,town,N10000402
N10000402,Boveedy,,town,N10000402
N10000402,Castlerock,,town,N10000402
N10000402,Castleroe,,town,N10000402
N10000402,Clarehill,,town,N10000402
N10000402,Craigavole,,town,N10000402
N10000402,Drumagarner,,town,N10000402
N10000402,Garvagh,,town,N10000402
N10000402,Glenkeen,,town,N10000402
N10000402,Glenullin,,town,N10000402
N10000402,Kilrea,,town,N10000402
N10000402,Macosquin,,town,N10000402
N10000402,Bann,,dea,N09000004
N10000403,Ardgarvan,,town,N10000403
N10000403,Ballykelly,,town,N10000403
N10000403,Burnfoot,,town,N10000403
N10000403,Dernaflaw,,town,N10000403
N10000403,Dungiven,,town,N10000403
N10000403,Feeny,,town,N10000403
N10000403,Foreglen,,town,N10000403
N10000403,Glack,,town,N10000403
N10000403,Gortnahey,,town,N10000403
N10000403,Greysteel,,town,N10000403
N10000403,Largy,,town,N10000403
N10000403,Benbradagh,,dea,N09000004
N10000404,Ballybogy,,town,N10000404
N10000404,Ballytober,,town,N10000404
N10000404,Bushmills,,town,N10000404
